timestamp,Team1,Team2,Conf1,Conf2
-1425340800,Wooster,Ohio State,,Western
-1425340800,Arkansas,LSU,Southwest,Southern
-1425340800,Birmingham-Southern,Jacksonville State,FBS Independents,
-1425340800,Cornell,Columbia,FBS Independents,FBS Independents
-1425340800,Colorado State,Utah State,Rocky Mountain,Rocky Mountain
-1425340800,Colorado School Of Mines,Wyoming,Rocky Mountain,Rocky Mountain
-1425340800,Baylor,Texas A&M,Southwest,Southwest
-1425340800,William & Mary,Duke,FBS Independents,FBS Independents
-1425340800,Virginia,Washington and Lee,Southern,Southern
-1425340800,Clemson,Virginia Tech,Southern,Southern
-1425340800,TCU,SMU,Southwest,Southwest
-1425340800,North Carolina,South Carolina,Southern,Southern
-1425340800,Navy,Penn State,FBS Independents,FBS Independents
-1425340800,Northwestern,Indiana,Western,Western
-1425340800,Nebraska,Missouri,Missouri Valley,Missouri Valley
-1425340800,Tulane,Mississippi State,Southern,Southern
-1425340800,Montana,Gonzaga,Pacific,FBS Independents
-1425340800,Grinnell,Coe College,Missouri Valley,
-1425340800,Maryland,Catholic,Southern,
-1425340800,Pennsylvania,Lafayette,FBS Independents,
-1425340800,Georgia,Tennessee,Southern,Southern
-1425340800,Denver,Colorado College,Rocky Mountain,Rocky Mountain
-1425340800,Vanderbilt,Auburn,Southern,Southern
-1425340800,Oregon,Washington,Pacific,Pacific
-1425340800,Kansas State,Iowa State,Missouri Valley,Missouri Valley
-1425340800,Washington University (St. Louis),Kansas,Missouri Valley,Missouri Valley
-1425340800,Presbyterian,Newberry,FBS Independents,FBS Independents
-1425340800,Oregon State,Idaho,Pacific,Pacific
-1425340800,NC State,Davidson,Southern,FBS Independents
-1425340800,Mississippi College,Louisiana College,FBS Independents,
-1425340800,Illinois,Iowa,Western,Western
-1425340800,Dartmouth,Brown,FBS Independents,FBS Independents
-1425340800,Mercer,Loyola (LA),FBS Independents,
-1424995200,Wyoming,Montana State,Rocky Mountain,Rocky Mountain
-1424822400,Rice,Austin,Southwest,
-1424822400,BYU,Utah State,Rocky Mountain,Rocky Mountain
-1424736000,Yale,Maryland,FBS Independents,Southern
-1424736000,Waynesburg,Washington & Jefferson,,FBS Independents
-1424736000,Pennsylvania,Georgetown,FBS Independents,
-1424736000,Pittsburgh,Geneva,FBS Independents,
-1424736000,Newberry,Parris Island Marines,FBS Independents,
-1424736000,Navy,Vermont,FBS Independents,
-1424736000,Wisconsin,Notre Dame,Western,FBS Independents
-1424736000,Oklahoma State,Creighton,Southwest,
-1424736000,Brown,Haskell,FBS Independents,
-1424736000,Harvard,Princeton,FBS Independents,FBS Independents
-1424736000,Iowa State,Minnesota,Missouri Valley,Western
-1424736000,Iowa,Butler,Western,
-1424736000,Auburn,Tulane,Southern,Southern
-1424736000,Duke,Elon,FBS Independents,
-1424736000,Millsaps,Spring Hill,FBS Independents,
-1424736000,Montana,Pacific (Oregon),Pacific,
-1424736000,Regis (CO),Northern Colorado,FBS Independents,Rocky Mountain
-1424736000,Purdue,Depauw,Western,
-1424736000,Columbia,New York University,FBS Independents,
-1424736000,Tennessee,Centre College Kentucky,Southern,FBS Independents
-1424736000,Army,Florida,FBS Independents,Southern
-1424736000,Syracuse,West Virginia Wesleyan,FBS Independents,
-1424736000,Whitman,Willamette,FBS Independents,
-1424736000,King,William & Mary,,FBS Independents
-1424736000,Washington University (St. Louis),James Millikin,Missouri Valley,
-1424736000,Washington and Lee,The Citadel,Southern,FBS Independents
-1424736000,USC,Saint Mary's (CA),Pacific,
-1424736000,Richmond,Roanoke,FBS Independents,
-1424736000,Cornell,Susquehanna,FBS Independents,
-1424736000,Davidson,Clemson,FBS Independents,Southern
-1424736000,West Virginia,Colgate,FBS Independents,FBS Independents
-1424736000,Stanford,Utah,Pacific,Rocky Mountain
-1424736000,Samford,Oglethorpe,FBS Independents,FBS Independents
-1424736000,Penn State,Carnegie Mellon,FBS Independents,FBS Independents
-1424736000,Illinois,Chicago,Western,Western
-1424736000,Oregon State,Washington State,Pacific,Pacific
-1424736000,South Carolina,Furman,Southern,FBS Independents
-1424736000,Alabama,Kentucky,Southern,Southern
-1424736000,Dartmouth,Boston University,FBS Independents,FBS Independents
-1424736000,Virginia,Georgia,Southern,Southern
-1424736000,Georgia Tech,LSU,Southern,Southern
-1424736000,Mercer,Wofford,FBS Independents,FBS Independents
-1424736000,North Carolina,VMI,Southern,Southern
-1424736000,NC State,Virginia Tech,Southern,Southern
-1424736000,Oklahoma,Missouri,Missouri Valley,Missouri Valley
-1424736000,Michigan,Northwestern,Western,Western
-1424736000,Kansas,Drake,Missouri Valley,Missouri Valley
-1424736000,Ohio State,Indiana,Western,Western
-1424736000,Texas,Baylor,Southwest,Southwest
-1424736000,Erskine,Presbyterian,FBS Independents,FBS Independents
-1424736000,Sewanee,Ole Miss,Southern,Southern
-1424736000,Idaho,Oregon,Pacific,Pacific
-1424736000,Colorado State,Colorado College,Rocky Mountain,Rocky Mountain
-1424736000,Colorado,Colorado School Of Mines,Rocky Mountain,Rocky Mountain
